Best Overall Rating,Body Type,Club,Height,Height - Split 1,Height - Split 1 (bin),Joined,Kit Number,Loaned From,Name,Nationality,Position,Preferred Foot,Release Clause,Value (bin),Weight,Weight - Split 1,Weight - Split 1 (bin),Work Rate,Age,Contract Valid Until,International Reputation,Player Score Overall,Potential,Skill Moves,Special,Value,Wage,Weak Foot
,Normal (170-185),Al Nassr,176cm,176,175,"Jul 6, 2022",87,,G. Konan,Côte d'Ivoire,Defender,Left,€15.1M,0,71kg,71,70,Medium/ Medium,26,2025,1,76,78,3,1908,8.5,33,3
,Lean (170-185),Celtic,173cm,173,170,"Jun 7, 2022",38,,D. Maeda,Japan,Forward,Right,€6.6M,0,68kg,68,65,High/ High,24,2026,1,72,77,3,1908,3.5,33,3
,Lean (185+),Nîmes Olympique,188cm,188,185,"Aug 20, 2019",12,,L. Fomba,France,Midfielder,Right,€8.6M,0,68kg,68,65,Medium/ High,24,2023,1,72,79,3,1908,4.4,5,2
,Normal (170-185),FC Lugano,175cm,175,175,"Jul 1, 2022",20,,O. Doumbia,Côte d'Ivoire,Midfielder,Right,€2.3M,0,70kg,70,70,Medium/ Medium,30,2026,1,71,71,2,1908,1.6,7,3
,Lean (170-185),Pisa,178cm,178,175,,8,,Á. Nagy,Hungary,Midfielder,Right,€4.2M,0,70kg,70,70,High/ Medium,27,,1,72,74,3,1907,2.5,4,4
,Normal (170-185),Eintracht Frankfurt,183cm,183,180,"Jan 31, 2019",18,,A. Touré,Mali,Defender,Right,€8.2M,0,81kg,81,80,Medium/ Medium,26,2023,1,74,76,3,1907,4.6,22,3
,Normal (185+),VfL Bochum 1848,188cm,188,185,"Jul 1, 2022",10,,P. Förster,Germany,Midfielder,Left,€4.5M,0,82kg,82,80,High/ High,27,2024,1,72,72,3,1907,2.5,18,3
,Lean (170-185),Club Atlético Colón,175cm,175,175,"Jul 1, 2020",21,,E. Meza,Argentina,Defender,Right,€4.1M,0,72kg,72,70,High/ High,23,2023,1,71,76,3,1907,2.6,7,3
,Normal (170-185),Hamburger SV,181cm,181,180,"Jul 1, 2022",8,,L. Bénes,Slovakia,Midfielder,Left,€7.2M,0,72kg,72,70,Medium/ Medium,24,2026,1,73,77,3,1907,4.3,11,3
,Normal (170-185),Melbourne City FC,181cm,181,180,,7,,M. Leckie,Australia,Midfielder,Right,€2M,0,82kg,82,80,Medium/ Medium,31,,1,71,71,3,1907,1.6,9,4
,Normal (170-),FC Cincinnati,161cm,161,160,"Mar 17, 2021",10,,L. Acosta,Argentina,Midfielder,Right,€10.9M,0,59kg,59,55,High/ Medium,28,2023,1,76,76,5,1907,7.5,10,3
,Normal (170-185),Santos,176cm,176,175,"Jun 20, 2022",9,,Luimo Boas Santos,Brazil,Forward,Right,€39.9M,17,73kg,73,70,High/ Medium,22,2025,1,79,79,4,1907,21,32,4
,Normal (185+),Al Fayha,191cm,191,190,"Jul 15, 2022",77,,P. Tachtsidis,Greece,Midfielder,Left,€3.1M,0,86kg,86,85,Medium/ Medium,31,2022,2,72,72,3,1907,1.9,18,3
,Lean (170-185),KAS Eupen,178cm,178,175,"Jul 19, 2014",10,,19 Luis García,Spain,Midfielder,Right,€1.1M,0,65kg,65,65,Medium/ Medium,37,2019,1,71,71,3,1906,0.6,7,4
,Normal (170-185),Godoy Cruz,179cm,179,175,"Aug 17, 2020",11,,M. Ojeda,Argentina,Midfielder,Left,€20.4M,9,78kg,78,75,High/ Medium,23,2023,1,76,82,3,1906,12,10,4
,Normal (170-185),Atlanta United,175cm,175,175,"Aug 6, 2021",19,,Luiz Araújo,Brazil,Midfielder,Left,€23.3M,9,70kg,70,70,High/ Medium,26,2022,2,78,78,4,1906,15.5,11,2
,Lean (170-185),Real Betis Balompié,172cm,172,170,"Jul 1, 2019",7,,Juanmi,Spain,Midfielder,Right,€35.7M,9,69kg,69,65,Medium/ Medium,29,2024,1,79,79,3,1906,17,30,3
,Lean (170-185),SL Benfica,176cm,176,175,"Jul 1, 2022",7,,David Neres,Brazil,Midfielder,Left,€47.7M,17,71kg,71,70,Medium/ Medium,25,2027,3,79,82,5,1906,23,18,3
,Normal (170-185),Venezia FC,175cm,175,175,"Jul 1, 2022",38,,M. Andersen,Denmark,Midfielder,Right,€5.2M,0,64kg,64,60,Medium/ Medium,23,2025,1,71,77,3,1906,2.9,3,3
,Normal (185+),PSV,188cm,188,185,"Jul 2, 2022",9,,L. de Jong,Netherlands,Forward,Right,€21M,9,86kg,86,85,Medium/ Medium,31,2025,3,79,79,3,1905,15,24,5
,Normal (170-185),Vélez Sarsfield,171cm,171,170,"Jul 31, 2019",11,,L. Janson,Argentina,Forward,Right,€9M,0,67kg,67,65,High/ Medium,27,2024,1,75,75,4,1905,6,16,3
,Normal (170-185),San Jose Earthquakes,179cm,179,175,"Aug 5, 2022",2,,Akapo,Equatorial Guinea,Defender,Right,€7.1M,0,70kg,70,70,High/ Medium,29,2023,1,75,75,2,1905,4.9,9,3
,Normal (170-185),Viktoria Köln,183cm,183,180,"Jul 8, 2021",31,,M. Risse,Germany,Midfielder,Right,€1.2M,0,75kg,75,75,Medium/ Medium,32,2023,1,67,67,3,1905,0.8,3,2
,Normal (185+),FC Barcelona,192cm,192,190,"Aug 29, 2018",4,,R. Araujo,Uruguay,Defender,Right,€117M,44,91kg,91,90,Medium/ High,23,2026,1,83,89,2,1905,52,135,3
,Unique,Real Sociedad,192cm,192,190,"Jul 1, 2019",19,,A. Isak,Sweden,Forward,Right,€71.8M,26,77kg,77,75,High/ Low,22,2026,2,80,85,4,1905,33,37,5
,Normal (170-185),Al Shabab,176cm,176,175,"Aug 20, 2021",13,,Carlos Júnior,Brazil,Forward,Right,€10.2M,0,75kg,75,75,Medium/ Medium,26,2024,1,75,75,3,1904,6,34,3
,Lean (170-185),,183cm,183,180,,24,,22 A. Zakharyan,Russia,Forward,Right,,0,72kg,72,70,High/ High,18,,1,72,86,3,1904,0,0,4
,Normal (170-185),Beijing Guoan FC,178cm,178,175,"Apr 14, 2022",11,,S. Adegbenro,Nigeria,Forward,Right,€4M,0,75kg,75,75,High/ Medium,26,2024,1,72,72,4,1904,2.6,15,4
,Normal (170-185),AC Monza,176cm,176,175,,17,"<a href=""/team/206/hellas-verona/"">Hellas Verona</a>",G. Caprari,Italy,Forward,Right,,9,72kg,72,70,High/ Low,28,,2,78,78,3,1904,14.5,34,4
,Lean (170-185),Rangers FC,180cm,180,180,"Jul 8, 2022",11,,T. Lawrence,Wales,Forward,Right,€4.3M,0,75kg,75,75,High/ Low,28,2025,1,72,72,4,1904,2.4,39,3
,Normal (170-185),Urbs Reggina 1914,175cm,175,175,"Jul 18, 2021",15,,K. Laribi,Tunisia,Forward,Right,€3.9M,0,67kg,67,65,Medium/ Medium,31,2023,1,73,73,4,1904,2.5,3,4
,Normal (170-185),Real Oviedo,181cm,181,180,"Aug 2, 2022",18,,Montoro,Spain,Midfielder,Right,€5.8M,0,72kg,72,70,Medium/ Medium,34,2023,1,77,77,3,1904,3.6,11,3
,Normal (185+),RB Bragantino,188cm,188,185,,11,,Adriano Bisesi,Brazil,Forward,Right,€48.5M,17,83kg,83,80,High/ Low,30,,1,81,81,4,1904,25.5,27,3
,Normal (185+),SC Braga,189cm,189,185,"Aug 7, 2020",8,,A. Musrati,Libya,Midfielder,Right,€45.7M,17,83kg,83,80,Medium/ High,26,2024,1,79,83,2,1903,22,17,2
,Stocky (170-185),Watford,180cm,180,180,"Jul 5, 2018",12,,K. Sema,Sweden,Defender,Left,€4.6M,0,69kg,69,65,Medium/ Medium,28,2023,1,72,72,3,1903,2.4,34,3
,Normal (170-185),VfL Wolfsburg,182cm,182,180,"Jul 1, 2022",39,,P. Wimmer,Austria,Midfielder,Right,€32.3M,9,77kg,77,75,High/ Medium,21,2027,1,76,85,4,1903,17,30,4
,Normal (170-185),U.C. Sampdoria,183cm,183,180,,18,,B. Bereszyński,Poland,Defender,Right,€4.9M,0,77kg,77,75,High/ Medium,29,,1,73,73,3,1903,2.7,15,3
,Lean (170-185),FC Augsburg,182cm,182,180,"Jul 27, 2022",13,,E. Rexhbeçaj,Kosovo,Midfielder,Left,€8.1M,0,73kg,73,70,High/ Medium,24,2026,1,73,77,3,1903,4.3,19,3
,Normal (185+),Beşiktaş JK,197cm,197,195,,10,"<a href=""/team/1796/burnley/"">Burnley</a>",W. Weghorst,Netherlands,Forward,Right,,17,84kg,84,80,High/ High,29,,2,79,79,2,1902,17.5,59,3
,Normal (185+),Stoke City,188cm,188,185,"Aug 17, 2020",13,,21 J. Mikel,Nigeria,Midfielder,Right,€1.9M,0,86kg,86,85,Medium/ Medium,33,2022,3,70,70,3,1902,0.975,16,3
,Normal (185+),,188cm,188,185,,10,,21 L. Dálves,Uruguay,Forward,Right,,0,83kg,83,80,High/ Low,28,,1,80,80,3,1902,0,0,3
,Normal (170-185),Hertha BSC,174cm,174,170,"Aug 28, 2020",40,,C. Ejuke,Nigeria,Midfielder,Right,€20.4M,9,72kg,72,70,High/ High,24,2024,1,76,81,4,1902,11.5,25,3
,Lean (170-185),Grasshopper Club Zürich,178cm,178,175,,40,"<a href=""/team/110/wolverhampton-wanderers/"">Wolverhampton Wanderers</a>",H. Kawabe,Japan,Midfielder,Right,,0,70kg,70,70,Medium/ Medium,26,,1,68,71,3,1902,1.6,26,3
,Normal (170-185),Hamburger SV,178cm,178,175,"Jul 1, 2021",14,,L. Reis,Netherlands,Midfielder,Right,€6.8M,0,78kg,78,75,Medium/ High,22,2025,1,71,78,3,1902,3.8,9,2
,Normal (170-185),Casa Pia,174cm,174,170,"Jul 28, 2022",14,,T. Kunimoto,Japan,Midfielder,Left,€7.2M,0,70kg,70,70,Medium/ Medium,24,2024,1,70,77,4,1901,3.2,3,5
,Normal (185+),SD Huesca,185cm,185,185,"Jan 21, 2022",4,,Timor,Spain,Midfielder,Left,€1.9M,0,80kg,80,80,Medium/ High,32,2024,1,71,71,3,1901,1.2,7,3
,Lean (170-185),VfB Stuttgart,181cm,181,180,"Jul 19, 2021",22,,C. Führich,Germany,Midfielder,Right,€11.3M,0,70kg,70,70,High/ Medium,24,2025,1,74,78,3,1901,6,19,4
,Lean (185+),Olympique Lyonnais,185cm,185,185,"Jun 8, 2020",7,,K. Toko Ekambi,Cameroon,Forward,Right,€26.6M,9,74kg,74,70,High/ Low,29,2024,2,78,78,3,1901,14,62,4
,Normal (170-185),Venezia FC,180cm,180,180,"Jul 15, 2019",10,,M. Aramu,Italy,Midfielder,Left,€8.2M,0,69kg,69,65,Medium/ Medium,27,2024,1,74,75,3,1901,4.9,5,3
,Normal (170-185),Racing Club de Lens,179cm,179,175,"Jul 1, 2018",21,,M. Haïdara,Mali,Defender,Left,€7M,0,76kg,76,75,Medium/ High,29,2023,1,74,74,3,1901,3.7,26,3
,Lean (170-185),Beşiktaş JK,182cm,182,180,"Aug 12, 2021",18,,R. Ghezzal,Algeria,Midfielder,Left,€34M,9,70kg,70,70,Medium/ Low,30,2024,2,79,79,4,1901,17,61,3
,Normal (170-185),Borussia Dortmund,177cm,177,175,"Jul 1, 2022",27,,K. Adeyemi,Germany,Midfielder,Left,€25.7M,9,75kg,75,75,High/ Medium,20,2027,1,75,87,4,1900,13.5,31,3
,Lean (170-185),Yokohama F. Marinos,171cm,171,170,"Jan 4, 2020",5,,22 T. Bunmathan,Thailand,Defender,Left,€1.6M,0,62kg,62,60,Medium/ Medium,31,2022,1,70,70,3,1900,1.2,7,3
,Normal (185+),SL Benfica,185cm,185,185,"Jan 13, 2019",88,,Gonçalo Ramos,Portugal,Forward,Right,€27.5M,9,82kg,82,80,High/ Medium,21,2025,1,75,85,2,1900,12.5,11,4
,Normal (170-185),Urbs Reggina 1914,180cm,180,180,"Jan 9, 2020",94,,D. Liotti,Italy,Defender,Left,€1.7M,0,75kg,75,75,High/ Medium,28,2023,1,68,68,2,1900,1.1,1,3
,Lean (170-185),SC Braga,174cm,174,170,"Aug 3, 2020",45,,Iuri Medeiros,Portugal,Midfielder,Left,€16M,0,64kg,64,60,High/ Medium,27,2026,2,76,76,4,1900,8,16,3
,Normal (170-185),Philadelphia Union,182cm,182,180,"Feb 6, 2019",27,,K. Wagner,Germany,Defender,Left,€11M,0,78kg,78,75,High/ Medium,25,2022,1,75,79,2,1900,7,8,3
,Stocky (170-185),Ettifaq FC,173cm,173,170,"Aug 11, 2019",10,,N. Sliti,Tunisia,Midfielder,Right,€12.4M,0,78kg,78,75,Medium/ Medium,29,2023,1,76,76,4,1899,7.5,30,3
,Lean (185+),Liverpool,194cm,194,190,"Jul 1, 2016",32,,J. Matip,Cameroon,Defender,Right,€63.8M,26,90kg,90,90,Medium/ Medium,30,2024,2,84,84,2,1899,34.5,140,2
,Normal (170-185),CD Tenerife,178cm,178,175,"Jul 1, 2021",6,,Àlex Corredera,Spain,Midfielder,Left,€5M,0,72kg,72,70,High/ Medium,26,2024,1,72,75,3,1899,3,8,2
,Normal (170-185),Club Atlas,184cm,184,180,"Jan 1, 2019",5,,22 A. Santamaría,Peru,Defender,Right,€3.4M,0,79kg,79,75,Medium/ High,29,2025,1,72,72,3,1899,2,10,3
,Lean (170-185),Olympique de Marseille,183cm,183,180,,30,"<a href=""/team/1/arsenal/"">Arsenal</a>",Nuno Tavares,Portugal,Midfielder,Left,,0,75kg,75,75,High/ Medium,22,,1,73,80,3,1899,6,42,4
,Lean (170-185),Shamrock Rovers,175cm,175,175,"Jan 1, 2022",29,,J. Byrne,Republic of Ireland,Forward,Right,€3.1M,0,73kg,73,70,Medium/ Low,26,2023,1,70,71,3,1899,1.9,3,3
,Normal (170-185),Heart of Midlothian,178cm,178,175,"Oct 6, 2020",3,,S. Kingsley,Scotland,Defender,Left,€3.6M,0,77kg,77,75,High/ Medium,27,2025,1,71,72,2,1899,1.9,5,2
,Normal (170-185),Fortuna Sittard,177cm,177,175,"Aug 12, 2021",6,,D. Duarte,Cape Verde Islands,Midfielder,Right,€3.2M,0,72kg,72,70,High/ High,22,2024,1,68,74,3,1898,1.9,6,3
,Normal (170-185),Austin FC,179cm,179,175,"Jul 29, 2021",7,,S. Driussi,Argentina,Midfielder,Right,€29.1M,17,79kg,79,75,High/ Medium,26,2024,1,78,81,3,1898,18.5,11,2
,Stocky (170-185),Argentinos Juniors,175cm,175,175,"Jan 1, 2016",4,,K. Mac Allister,Argentina,Defender,Right,€7.9M,0,72kg,72,70,Medium/ Medium,24,2023,1,74,77,2,1898,5,10,3
,Normal (170-185),Club Atlético Talleres,182cm,182,180,"Jan 1, 2021",4,,M. Catalán,Argentina,Defender,Right,€3M,0,78kg,78,75,High/ Medium,29,2023,1,72,72,2,1898,2,11,2
,Normal (185+),West Ham United,188cm,188,185,"Jul 1, 2022",27,,N. Aguerd,Morocco,Defender,Left,€48.4M,17,76kg,76,75,Medium/ Medium,26,2027,2,80,83,2,1898,24.5,70,3
,Lean (170-185),1. FSV Mainz 05,178cm,178,175,"Nov 5, 2018",3,,Aarón,Spain,Defender,Left,€12.4M,0,70kg,70,70,Medium/ Medium,25,2023,1,75,78,3,1898,7,22,3
,Lean (170-185),Barcelona Sporting Club,171cm,171,170,"Jan 1, 2018",26,,22 B. Castillo,Ecuador,Defender,Right,€25M,9,64kg,64,60,High/ Medium,22,2025,1,76,81,3,1898,11,1,2
,Lean (170-185),Vitória de Guimarães,176cm,176,175,"Jul 1, 2016",70,,André Almeida,Portugal,Midfielder,Right,€16.1M,0,70kg,70,70,Medium/ Low,22,2023,1,73,81,3,1898,7,8,3
,Lean (170-185),Cádiz CF,184cm,184,180,"Aug 4, 2020",11,,Iván Alejo,Spain,Midfielder,Right,€12.6M,0,76kg,76,75,Medium/ Medium,27,2025,1,75,75,4,1897,6,27,3
,Normal (170-185),Standard de Liège,178cm,178,175,"Jan 26, 2018",8,,G. Cimirot,Bosnia and Herzegovina,Midfielder,Right,€2.4M,0,76kg,76,75,High/ High,29,2023,1,71,71,3,1897,1.6,10,3
,Lean (170-185),F.C. København,180cm,180,180,"Aug 31, 2021",8,,Í. Jóhannesson,Iceland,Midfielder,Left,€4.6M,0,72kg,72,70,High/ High,19,2026,1,67,82,3,1897,2.4,5,3
,Lean (170-185),RSC Anderlecht,182cm,182,180,"Jun 8, 2021",18,,M. Ashimeru,Ghana,Midfielder,Right,€4.4M,0,72kg,72,70,Medium/ Medium,24,2025,1,71,76,3,1897,2.8,12,3
,Lean (170-185),SK Slavia Praha,175cm,175,175,"Jun 21, 2022",21,,D. Douděra,Czech Republic,Defender,Right,€7.5M,0,66kg,66,65,High/ Medium,24,2025,1,72,77,2,1897,3.3,0.75,2
,Normal (170-185),FC Nantes,173cm,173,170,"Jul 1, 2020",29,,Q. Merlin,France,Defender,Left,€9.7M,0,67kg,67,65,High/ Medium,20,2026,1,70,84,3,1897,3.7,9,2
,Lean (170-185),Flamengo,173cm,173,170,"Jun 20, 2022",21,,Guilson Paiva,Brazil,Forward,Right,€27.9M,9,72kg,72,70,Medium/ Medium,26,2025,1,78,78,3,1896,15.5,40,4
,Normal (185+),RB Leipzig,194cm,194,190,,19,,A. Sørloth,Norway,Midfielder,Left,€16.9M,9,90kg,90,90,High/ Medium,26,,1,76,78,3,1896,9.5,48,4
,Normal (170-185),Beşiktaş JK,173cm,173,170,"Aug 10, 2021",90,,22 Alex Teixeira,Brazil,Forward,Right,€12M,0,68kg,68,65,High/ Low,31,2023,3,76,76,4,1896,6,40,4
,Normal (170-185),AC Monza,175cm,175,175,"Jul 7, 2022",19,,S. Birindelli,Italy,Midfielder,Right,€24M,9,70kg,70,70,High/ Medium,22,2026,1,75,83,3,1896,12,33,4
,Normal (170-185),Celtic,175cm,175,175,"Aug 31, 2021",17,,Jota,Portugal,Forward,Right,€30M,9,67kg,67,65,High/ Medium,23,2027,1,76,83,5,1896,15,46,4
,Normal (170-185),SL Benfica,182cm,182,180,"Sep 29, 2020",30,,N. Otamendi,Argentina,Defender,Right,€17M,0,78kg,78,75,Medium/ High,34,2023,3,81,81,2,1896,8.5,18,3
,Normal (170-185),Wolverhampton Wanderers,177cm,177,175,"Jul 1, 2022",11,,Hwang Hee Chan,Korea Republic,Forward,Right,€24.7M,9,77kg,77,75,High/ Medium,26,2026,1,77,78,3,1896,12.5,77,4
,Normal (170-185),Eintracht Braunschweig,184cm,184,180,"Sep 4, 2020",18,,21 F. Kroos,Germany,Midfielder,Right,€1.9M,0,80kg,80,80,Medium/ Medium,29,2022,1,68,68,3,1895,1.2,7,3
,Lean (185+),Real Betis Balompié,185cm,185,185,"Jan 14, 2020",21,,G. Rodríguez,Argentina,Midfielder,Right,€57.6M,26,80kg,80,80,Medium/ High,27,2024,1,81,82,2,1895,26.5,30,4
,Normal (170-185),Nottingham Forest,175cm,175,175,,11,"<a href=""/team/1795/watford/"">Watford</a>",22 P. Zinckernagel,Denmark,Midfielder,Right,,0,70kg,70,70,High/ Medium,26,,1,74,74,4,1895,4.6,43,3
,Normal (170-185),IFK Göteborg,181cm,181,180,"Jul 15, 2021",17,,O. Wendt,Sweden,Defender,Left,€344K,0,82kg,82,80,Medium/ Medium,36,2022,1,68,68,3,1894,0.275,2,3
,Lean (170-185),Clube Atlético Mineiro,178cm,178,175,"Jun 20, 2022",18,,Simão Acunha,Brazil,Midfielder,Right,€6.3M,0,71kg,71,70,High/ Low,34,2025,1,76,76,4,1894,3.5,33,2
,Normal (185+),FC Red Bull Salzburg,185cm,185,185,"Jan 31, 2020",77,,N. Okafor,Switzerland,Forward,Right,€21.3M,9,85kg,85,85,High/ Medium,22,2024,1,75,83,4,1894,12.5,25,4
,Stocky (170-185),FC Midtjylland,174cm,174,170,"Jul 6, 2022",36,,A. Dreyer,Denmark,Forward,Left,€9.8M,0,69kg,69,65,Medium/ Medium,24,2026,1,74,80,3,1894,6.5,23,3
,Normal (185+),Manchester City,187cm,187,185,"Sep 29, 2020",3,,Rúben Dias,Portugal,Defender,Right,€206.9M,104,82kg,82,80,Medium/ High,25,2027,3,88,91,2,1894,107.5,230,4
,Normal (170-185),Club Nacional de Football,171cm,171,170,"Jan 1, 2018",8,,22 G. Neves,Uruguay,Midfielder,Right,€10.5M,0,72kg,72,70,Medium/ Medium,22,2021,1,73,78,2,1893,4.7,0.95,4
,Lean (170-),,168cm,168,165,,22,,21 Afsha,Egypt,Midfielder,Right,,0,66kg,66,65,High/ Medium,24,,1,71,75,2,1893,0,0,4
,Lean (170-185),Independiente Petrolero,180cm,180,180,"Jan 7, 2021",8,,M. Avilés,Venezuela,Midfielder,Right,€1.2M,0,80kg,80,80,High/ High,35,2022,1,69,69,3,1893,0.55,0.5,3
,Lean (170-185),São Paulo,182cm,182,180,"Jan 1, 2011",3,,16 Rodrigo Caio,Brazil,Defender,Right,,0,70kg,70,70,High/ Medium,21,2018,1,75,80,2,1893,4.7,50,3
,Normal (185+),Levante Unión Deportiva,190cm,190,190,,5,"<a href=""/team/483/villarreal-cf/"">Villarreal CF</a>",Iborra,Spain,Midfielder,Right,,0,80kg,80,80,Medium/ Medium,34,,2,75,75,3,1893,1.9,26,4
,Normal (170-185),,183cm,183,180,,6,,A. Hatem,Qatar,Midfielder,Left,,0,76kg,76,75,High/ Medium,31,,1,71,71,3,1893,0,0,5
,Normal (170-),Al Fateh,168cm,168,165,"Jan 25, 2021",10,,C. Cueva,Peru,Forward,Right,€9.1M,0,61kg,61,60,Medium/ Medium,30,2025,2,75,75,3,1893,5.5,30,4
,Lean (170-185),Forest Green Rovers,175cm,175,175,"Jul 1, 2022",29,,R. Brown,England,Midfielder,Right,€2M,0,78kg,78,75,High/ Medium,26,2024,1,66,68,3,1893,1.1,4,4
,Normal (170-185),Club Nacional de Football,175cm,175,175,"Jan 21, 2022",5,,Y. Rodríguez,Uruguay,Midfielder,Right,€4.4M,0,72kg,72,70,Medium/ Medium,29,2022,1,72,72,2,1893,2,0.65,3
,Normal (170-185),New York City FC,183cm,183,180,"Apr 7, 2021",7,,A. Morales,United States,Midfielder,Right,€1.8M,0,77kg,77,75,Medium/ High,32,2023,1,71,71,3,1893,1.2,5,3
,Normal (170-185),UD Ibiza,171cm,171,170,"Aug 24, 2021",24,,G. Escobar,Argentina,Defender,Left,€6M,0,70kg,70,70,Medium/ Medium,25,2023,1,73,76,3,1893,3.7,7,2
,Lean (170-185),AEK Athens,182cm,182,180,"Jul 6, 2022",6,,J. Jønsson,Denmark,Midfielder,Right,€7.9M,0,76kg,76,75,Medium/ Medium,29,2026,1,74,74,2,1893,3.6,1,3
,Lean (170-185),FC Nantes,178cm,178,175,"Jul 1, 2020",5,,Pedro Chirivella,Spain,Midfielder,Right,€25.9M,9,66kg,66,65,Medium/ Medium,25,2026,1,77,80,3,1893,12.5,24,3
,Normal (170-185),Spezia,181cm,181,180,"Jul 1, 2014",20,,S. Bastoni,Italy,Midfielder,Left,€5.1M,0,74kg,74,70,Medium/ Medium,25,2025,1,72,74,3,1893,2.7,12,2
,Lean (170-185),AIK,175cm,175,175,"Jan 29, 2018",8,,B. Hussein,Sweden,Midfielder,Right,€5.5M,0,70kg,70,70,Medium/ Medium,22,2023,1,71,78,3,1892,3.8,5,3
,Stocky (170-185),Real Valladolid CF,174cm,174,170,"Aug 31, 2020",9,,S. Weissman,Israel,Forward,Right,€22.8M,9,79kg,79,75,High/ Medium,26,2024,1,76,79,3,1892,10,25,4
,Lean (185+),Athletic Club de Bilbao,188cm,188,185,"Jul 1, 2017",8,,Sancet,Spain,Midfielder,Right,€39.1M,9,72kg,72,70,Medium/ Medium,22,2024,1,76,85,4,1892,17,24,4
,Lean (185+),Villarreal CF,191cm,191,190,"Jul 1, 2016",4,,Pau Torres,Spain,Defender,Left,€116.2M,44,80kg,80,80,Medium/ High,25,2024,2,83,89,2,1891,50.5,43,3
,Lean (170-185),AC Sparta Praha,179cm,179,175,"Jul 2, 2022",18,,L. Sadílek,Czech Republic,Midfielder,Right,€6.8M,0,64kg,64,60,High/ Medium,26,2027,1,72,75,2,1891,3,0.85,3
,Lean (170-185),Olympique Lyonnais,179cm,179,175,"Oct 18, 2020",27,,M. Gusto,France,Defender,Right,€24.2M,9,74kg,74,70,High/ High,19,2024,1,75,85,3,1891,11.5,24,3
,Normal (170-185),Club Deportivo Oriente Petrolero,175cm,175,175,"Jan 16, 2021",7,,H. Dorrego,Uruguay,Midfielder,Right,€2.6M,0,73kg,73,70,Medium/ Medium,29,2022,1,68,68,3,1891,1.2,0.5,3
,Normal (170-185),CD Leganés,183cm,183,180,"Aug 31, 2018",14,,22 Recio,Spain,Midfielder,Right,€2.4M,0,74kg,74,70,Medium/ Medium,30,2022,1,70,70,3,1891,1.5,7,3
,Normal (170-185),Gil Vicente FC,176cm,176,175,"Aug 5, 2020",10,,K. Fujimoto,Japan,Midfielder,Left,€21.9M,9,68kg,68,65,Medium/ Medium,23,2025,1,74,83,3,1891,9.5,10,4
,Normal (170-185),Rayo Vallecano,177cm,177,175,"Sep 4, 2021",3,,Falcao,Colombia,Forward,Right,€5.5M,0,72kg,72,70,High/ Medium,36,2023,3,76,76,3,1891,2.6,17,4
,Lean (170-185),AS Saint-Étienne,178cm,178,175,,18,"<a href=""/team/232/standard-de-liege/"">Standard de Liège</a>",M. Cafaro,France,Midfielder,Right,,0,74kg,74,70,Medium/ Medium,25,,1,72,75,4,1890,3.1,12,3
,Normal (170-185),AS Saint-Étienne,178cm,178,175,"Jan 1, 2016",8,,M. Camara,France,Midfielder,Right,€10.3M,0,69kg,69,65,Medium/ High,24,2024,1,74,78,3,1890,5.5,7,3
,Normal (185+),FC Augsburg,186cm,186,185,"May 24, 2022",10,,A. Maier,Germany,Forward,Right,€24M,9,79kg,79,75,Medium/ Medium,23,2025,1,76,82,3,1890,12,23,3
,Normal (170-185),Atakaş Hatayspor,178cm,178,175,"Jul 1, 2022",10,,R. Aabid,France,Midfielder,Right,€3M,0,71kg,71,70,Medium/ Medium,30,2024,1,70,70,3,1890,1.5,9,3
,Normal (185+),U.C. Sampdoria,186cm,186,185,"Jul 1, 2022",11,,A. Sabiri,Germany,Midfielder,Right,€6.4M,0,80kg,80,80,Medium/ Medium,25,2025,1,72,77,3,1890,3.4,14,4
,Lean (170-),Melbourne Victory,169cm,169,165,"Oct 9, 2020",22,,J. Brimmer,Australia,Midfielder,Right,€2.5M,0,68kg,68,65,High/ Low,24,2024,1,69,72,3,1890,1.9,5,3
,Stocky (185+),Valencia CF,186cm,186,185,"Jul 14, 2019",9,,M. Gómez,Uruguay,Forward,Right,€41.3M,17,84kg,84,80,High/ Low,25,2024,1,78,81,3,1890,19,37,3
,Lean (170-185),Toulouse Football Club,184cm,184,180,"Jul 21, 2021",3,,M. Desler,Denmark,Defender,Right,€4.2M,0,73kg,73,70,High/ Medium,27,2023,1,71,72,2,1890,2,11,3
,Lean (185+),Inter,190cm,190,190,"Aug 31, 2017",95,,A. Bastoni,Italy,Defender,Left,€111.9M,52,75kg,75,75,Medium/ High,23,2024,1,84,90,2,1890,60.5,75,3
,Normal (170-185),Altay SK,182cm,182,180,"Jul 26, 2021",16,,22 Thaciano,Brazil,Midfielder,Right,€2.8M,0,74kg,74,70,High/ Medium,26,2022,1,68,69,2,1889,1.4,6,3
,Normal (170-185),Willem II,171cm,171,170,"Jul 1, 2018",8,,22 Pol Llonch,Spain,Midfielder,Right,€3M,0,70kg,70,70,Low/ High,28,2024,1,72,72,2,1889,2.1,8,3
,Normal (170-185),KV Oostende,174cm,174,170,"Jul 1, 2021",10,,Kenny Rocha Santos,Cape Verde Islands,Midfielder,Right,€5.1M,0,68kg,68,65,High/ Medium,22,2025,1,69,78,3,1889,3.1,6,3
